trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,Instruction.stopped,Intro_resp.keys,Intro_resp.rt,Intro_resp.started,Intro_resp.stopped,Trial_Instruction.started,Trial_Instruction.stopped,DeckA.started,DeckA.stopped,DeckB.started,DeckB.stopped,DeckC.started,DeckC.stopped,DeckD.started,DeckD.stopped,border.started,border.stopped,Trial_click.x,Trial_click.y,Trial_click.leftButton,Trial_click.midButton,Trial_click.rightButton,Trial_click.time,Trial_click.clicked_name,Trial_click.started,Trial_click.stopped,totMoney.started,totMoney.stopped,Nchoice.started,Nchoice.stopped,gain_result.routineEndVal,remained_money.routineEndVal,participant,session,date,expName,psychopyVersion,frameRate,
,,,,5.487563624999893,None,space,0.26672400000097696,5.487563624999893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
0,0,0,0,,,,,,,5.799580999999307,None,5.799580999999307,None,5.799580999999307,None,5.799580999999307,None,5.799580999999307,None,5.799580999999307,None,-0.20666666666666667,0.07555555555555556,1,0,0,2.7770478329985053,DeckB,0.009850370497588301,None,5.799580999999307,None,5.799580999999307,None,100,2100,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
1,0,1,0,,,,,,,8.562429541998426,None,8.562429541998426,None,8.562429541998426,None,8.562429541998426,None,8.562429541998426,None,8.562429541998426,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.15460462500050198,DeckB,0.0036501205031527206,None,8.562429541998426,None,8.562429541998426,None,-1150,950,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
2,0,2,0,,,,,,,8.725934375001088,None,8.725934375001088,None,8.725934375001088,None,8.725934375001088,None,8.725934375001088,None,8.725934375001088,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.17402612500154646,DeckB,0.006552411501616007,None,8.725934375001088,None,8.725934375001088,None,100,1050,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
3,0,3,0,,,,,,,8.909030416998576,None,8.909030416998576,None,8.909030416998576,None,8.909030416998576,None,8.909030416998576,None,8.909030416998576,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.1571889580009156,DeckB,0.00755595450027613,None,8.909030416998576,None,8.909030416998576,None,100,1150,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
4,0,4,0,,,,,,,9.073995582999487,None,9.073995582999487,None,9.073995582999487,None,9.073995582999487,None,9.073995582999487,None,9.073995582999487,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.17600345900063985,DeckB,0.008477828501781914,None,9.073995582999487,None,9.073995582999487,None,100,1250,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
5,0,5,0,,,,,,,9.258208791998186,None,9.258208791998186,None,9.258208791998186,None,9.258208791998186,None,9.258208791998186,None,9.258208791998186,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.15937404099895502,DeckB,0.008086620502581354,None,9.258208791998186,None,9.258208791998186,None,100,1350,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
6,0,6,0,,,,,,,9.425917624997965,None,9.425917624997965,None,9.425917624997965,None,9.425917624997965,None,9.425917624997965,None,9.425917624997965,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.17402483300247695,DeckB,0.006944912500330247,None,9.425917624997965,None,9.425917624997965,None,100,1450,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
7,0,7,0,,,,,,,9.608562707999226,None,9.608562707999226,None,9.608562707999226,None,9.608562707999226,None,9.608562707999226,None,9.608562707999226,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.1754615419995389,DeckB,0.007763828500173986,None,9.608562707999226,None,9.608562707999226,None,100,1550,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
8,0,8,0,,,,,,,9.791711124998983,None,9.791711124998983,None,9.791711124998983,None,9.791711124998983,None,9.791711124998983,None,9.791711124998983,None,-0.20666666666666667,0.07555555555555556,1,0,0,0.1754935419994581,DeckB,0.0078076204990793485,None,9.791711124998983,None,9.791711124998983,None,100,1650,,001,2021_Jun_09_2347,new_iowaGambling_prac,2021.1.4,59.84033103740679,
